time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558330138,1,0,0,0,0,3
1765558331139,17,36,0,207,22,3
1765558335073,37,92,3,282,55,3
1765558336074,57,139,3,251,82,3
1765558337075,77,188,3,238,111,3
1765558338076,97,236,3,230,139,3
1765558339078,117,286,3,226,169,3
1765558340078,137,333,3,221,196,3
1765558341079,157,382,3,218,224,3
1765558342080,177,431,3,216,254,3
1765558343082,197,477,3,215,280,3
1765558344082,217,526,3,213,309,3
1765558345083,237,572,3,212,335,3
1765558346084,256,618,3,211,362,3
1765558347084,276,667,3,210,391,3
1765558348085,296,714,3,210,418,3
1765558349086,316,763,3,209,447,3
1765558350087,336,813,3,209,477,3
1765558351088,356,860,3,208,504,3
1765558352090,376,909,3,208,533,3
1765558353090,396,957,3,208,561,3
1765558354091,416,1003,3,207,587,3
1765558355091,436,1051,3,207,616,3
1765558356092,456,1099,3,207,643,3
1765558357093,476,1147,3,206,671,3
1765558358094,495,1194,3,206,699,3
1765558359094,515,1245,3,206,730,3
1765558360095,516,1259,3,206,739,3
